,efm,reaction,kcat,dq/dk,dlogq/dlogk
6,278,R27,7.81e+01,6.18e-03,4.99e-01
7,278,R7rb,3.90e+02,4.97e-05,2.00e-02
8,278,R24,1.08e+02,6.45e-06,7.22e-04
9,278,R23r,3.26e+01,3.41e-05,1.15e-03
10,278,R10c,1.10e+02,1.68e-04,1.91e-02
11,278,R40,1.23e+02,4.66e-05,5.93e-03
12,278,R6r,7.84e+03,1.76e-06,1.42e-02
13,278,R5r,7.99e+00,4.80e-03,3.96e-02
14,278,R15r,7.53e+01,2.70e-04,2.10e-02
15,278,R14r,1.67e+01,3.63e-03,6.27e-02
16,278,R28r,2.82e+02,5.12e-06,1.49e-03
17,278,R27b,1.79e+02,4.42e-04,8.18e-02
18,278,R7ra,2.33e+02,1.56e-04,3.77e-02
19,278,R7rc,5.31e+01,1.76e-04,9.67e-03
20,278,R13r,4.64e+01,5.05e-05,2.42e-03
21,278,R10a,2.41e+02,4.14e-05,1.03e-02
22,278,R1,1.04e+02,1.96e-04,2.11e-02
23,278,R10b,4.10e+02,2.14e-05,9.06e-03
24,278,R29r,2.11e+02,2.73e-07,5.95e-05
25,278,R93,9.97e+01,9.29e-06,9.56e-04
26,278,R8r,2.11e+02,3.58e-05,7.80e-03
27,278,R12r,1.36e+03,4.09e-08,5.75e-05
28,278,R11r,1.34e+02,3.27e-05,4.52e-03
29,278,R95,1.00e+02,7.27e-06,7.51e-04
30,278,R70,9.95e+01,9.35e-07,9.61e-05
0,279,R54ra,3.51e-01,3.56e+00,6.56e-01
1,279,R22,3.59e+02,1.68e-06,3.17e-04
2,279,R21,3.77e+01,3.94e-03,7.81e-02
3,279,R54rb,3.24e+02,7.28e-05,1.24e-02
4,279,R3,1.15e+02,4.02e-04,2.43e-02
5,279,R80,4.00e+06,2.35e-09,4.95e-03
6,279,R7rb,3.90e+02,1.10e-04,2.26e-02
7,279,R24,1.08e+02,5.48e-06,3.12e-04
8,279,R23r,3.26e+01,2.80e-05,4.80e-04
9,279,R10c,1.10e+02,2.52e-04,1.46e-02
10,279,R40,1.23e+02,7.73e-05,5.00e-03
11,279,R6r,7.84e+03,2.21e-06,9.08e-03
12,279,R5r,7.99e+00,5.94e-03,2.49e-02
13,279,R15r,7.53e+01,2.10e-04,8.31e-03
14,279,R14r,1.67e+01,3.19e-03,2.80e-02
15,279,R28r,2.82e+02,4.04e-06,5.99e-04
16,279,R27b,1.79e+02,1.34e-05,1.27e-03
17,279,R7ra,2.33e+02,2.81e-04,3.45e-02
18,279,R7rc,5.31e+01,3.22e-04,8.99e-03
19,279,R13r,4.64e+01,1.03e-04,2.50e-03
20,279,R10a,2.41e+02,1.15e-04,1.45e-02
21,279,R1,1.04e+02,4.18e-04,2.28e-02
22,279,R10b,4.10e+02,5.72e-05,1.23e-02
23,279,R29r,2.11e+02,7.02e-07,7.77e-05
24,279,R93,9.97e+01,9.29e-06,4.87e-04
25,279,R8r,2.11e+02,7.69e-05,8.52e-03
26,279,R12r,1.36e+03,2.73e-07,1.96e-04
27,279,R11r,1.34e+02,4.14e-05,2.91e-03
28,279,R95,1.00e+02,9.96e-06,5.24e-04
29,279,R70,9.95e+01,1.35e-06,7.05e-05
0,282,R91,1.00e+02,1.13e-05,6.89e-03
1,282,R55b,5.88e+01,4.88e-05,1.75e-02
2,282,R55a,9.13e+01,3.47e-05,1.93e-02
3,282,R22,3.59e+02,7.75e-07,1.70e-03
4,282,R21,3.77e+01,5.71e-04,1.31e-01
5,282,R3,1.15e+02,7.55e-05,5.30e-02
6,282,R80,4.00e+06,2.51e-09,6.14e-02
7,282,R7rb,3.90e+02,1.12e-05,2.66e-02
8,282,R24,1.08e+02,1.74e-06,1.15e-03
9,282,R23r,3.26e+01,2.31e-05,4.60e-03
10,282,R10c,1.10e+02,3.94e-05,2.65e-02
11,282,R40,1.23e+02,2.91e-05,2.19e-02
12,282,R6r,7.84e+03,8.26e-07,3.95e-02
13,282,R5r,7.99e+00,2.35e-03,1.15e-01
14,282,R15r,7.53e+01,6.00e-05,2.76e-02
15,282,R14r,1.67e+01,1.61e-03,1.65e-01
16,282,R28r,2.82e+02,2.26e-06,3.88e-03
17,282,R27b,1.79e+02,2.85e-05,3.12e-02
18,282,R7ra,2.33e+02,5.69e-05,8.09e-02
19,282,R7rc,5.31e+01,9.15e-05,2.97e-02
20,282,R13r,4.64e+01,3.25e-05,9.20e-03
21,282,R10a,2.41e+02,1.08e-05,1.59e-02
22,282,R1,1.04e+02,9.22e-05,5.85e-02
23,282,R10b,4.10e+02,4.71e-06,1.18e-02
24,282,R29r,2.11e+02,1.25e-06,1.61e-03
25,282,R93,9.97e+01,9.29e-06,5.65e-03
26,282,R8r,2.11e+02,1.75e-05,2.26e-02
27,282,R12r,1.36e+03,4.22e-08,3.51e-04
28,282,R11r,1.34e+02,8.42e-06,6.89e-03
29,282,R95,1.00e+02,4.72e-06,2.88e-03
30,282,R70,9.95e+01,8.06e-07,4.89e-04
0,285,R54ra,3.51e-01,8.70e+00,6.33e-01
1,285,R22,3.59e+02,1.77e-06,1.31e-04
2,285,R21,3.77e+01,8.59e-03,6.71e-02
3,285,R54rb,3.24e+02,1.60e-04,1.07e-02
4,285,R3,1.15e+02,9.37e-04,2.23e-02
5,285,R27,7.81e+01,6.23e-03,1.01e-01
6,285,R7rb,3.90e+02,1.92e-04,1.55e-02
7,285,R24,1.08e+02,6.10e-06,1.37e-04
8,285,R23r,3.26e+01,2.84e-05,1.92e-04
9,285,R10c,1.10e+02,4.51e-04,1.03e-02
10,285,R41,7.59e+01,5.47e-04,8.61e-03
11,285,R40,1.23e+02,9.29e-05,2.37e-03
12,285,R6r,7.84e+03,3.50e-06,5.68e-03
13,285,R5r,7.99e+00,9.33e-03,1.54e-02
14,285,R15r,7.53e+01,4.32e-04,6.74e-03
15,285,R14r,1.67e+01,5.41e-03,1.88e-02
16,285,R27b,1.79e+02,3.52e-04,1.31e-02
17,285,R7ra,2.33e+02,4.90e-04,2.37e-02
18,285,R7rc,5.31e+01,4.56e-04,5.02e-03
19,285,R13r,4.64e+01,9.48e-05,9.11e-04
20,285,R10a,2.41e+02,1.99e-04,9.92e-03
21,285,R1,1.04e+02,6.38e-04,1.37e-02
22,285,R10b,4.10e+02,1.06e-04,8.96e-03
23,285,R29r,2.11e+02,8.08e-07,3.53e-05
24,285,R93,9.97e+01,9.29e-06,1.92e-04
25,285,R8r,2.11e+02,1.06e-04,4.65e-03
26,285,R12r,1.36e+03,1.66e-07,4.70e-05
27,285,R11r,1.34e+02,7.25e-05,2.01e-03
28,285,R70,9.95e+01,1.02e-06,2.10e-05
0,287,R22,3.59e+02,1.33e-06,1.85e-03
1,287,R21,3.77e+01,2.17e-04,3.17e-02
2,287,R3,1.15e+02,1.31e-04,5.84e-02
3,287,R80,4.00e+06,2.40e-09,3.72e-02
4,287,R7rb,3.90e+02,2.41e-05,3.65e-02
5,287,R24,1.08e+02,2.28e-06,9.57e-04
6,287,R23r,3.26e+01,2.81e-05,3.56e-03
7,287,R10c,1.10e+02,6.64e-05,2.83e-02
8,287,R40,1.23e+02,7.62e-05,3.64e-02
9,287,R6r,7.84e+03,1.54e-06,4.67e-02
10,287,R5r,7.99e+00,4.37e-03,1.35e-01
11,287,R15r,7.53e+01,1.07e-04,3.12e-02
12,287,R14r,1.67e+01,2.89e-03,1.88e-01
13,287,R28r,2.82e+02,7.57e-06,8.27e-03
14,287,R27b,1.79e+02,7.14e-05,4.96e-02
15,287,R7ra,2.33e+02,1.10e-04,9.96e-02
16,287,R7rc,5.31e+01,1.81e-04,3.73e-02
17,287,R13r,4.64e+01,5.80e-05,1.04e-02
18,287,R10a,2.41e+02,1.73e-05,1.61e-02
19,287,R1,1.04e+02,1.62e-04,6.54e-02
20,287,R10b,4.10e+02,7.40e-06,1.18e-02
21,287,R94,1.00e+02,2.36e-05,9.17e-03
22,287,R53r,1.39e+02,1.13e-05,6.11e-03
23,287,R29r,2.11e+02,3.77e-06,3.08e-03
24,287,R93,9.97e+01,9.29e-06,3.59e-03
25,287,R8r,2.11e+02,3.59e-05,2.94e-02
26,287,R12r,1.36e+03,6.60e-08,3.49e-04
27,287,R11r,1.34e+02,1.43e-05,7.41e-03
28,287,R95,1.00e+02,1.65e-05,6.38e-03
29,287,R70,9.95e+01,7.37e-07,2.84e-04
0,288,R22,3.59e+02,4.07e-06,1.28e-03
1,288,R21,3.77e+01,3.29e-04,1.08e-02
2,288,R3,1.15e+02,8.13e-04,8.17e-02
3,288,R27,7.81e+01,6.59e-03,4.50e-01
4,288,R7rb,3.90e+02,6.88e-05,2.35e-02
5,288,R24,1.08e+02,8.84e-06,8.39e-04
6,288,R23r,3.26e+01,4.40e-05,1.25e-03
7,288,R10c,1.10e+02,2.52e-04,2.42e-02
8,288,R41,7.59e+01,4.05e-05,2.69e-03
9,288,R40,1.23e+02,9.29e-05,1.00e-02
10,288,R6r,7.84e+03,2.76e-06,1.89e-02
11,288,R5r,7.99e+00,7.60e-03,5.31e-02
12,288,R15r,7.53e+01,4.22e-04,2.78e-02
13,288,R14r,1.67e+01,5.68e-03,8.31e-02
14,288,R27b,1.79e+02,5.23e-04,8.20e-02
15,288,R7ra,2.33e+02,2.28e-04,4.64e-02
16,288,R7rc,5.31e+01,2.70e-04,1.25e-02
17,288,R13r,4.64e+01,8.20e-05,3.33e-03
18,288,R10a,2.41e+02,4.56e-05,9.61e-03
19,288,R1,1.04e+02,2.73e-04,2.48e-02
20,288,R10b,4.10e+02,2.23e-05,8.00e-03
21,288,R94,1.00e+02,5.69e-05,4.98e-03
22,288,R53r,1.39e+02,2.01e-05,2.46e-03
23,288,R29r,2.11e+02,7.96e-07,1.47e-04
24,288,R93,9.97e+01,9.29e-06,8.09e-04
25,288,R8r,2.11e+02,5.34e-05,9.85e-03
26,288,R12r,1.36e+03,6.25e-08,7.44e-05
27,288,R11r,1.34e+02,5.07e-05,5.93e-03
28,288,R70,9.95e+01,1.17e-06,1.02e-04
0,29,R22,3.59e+02,1.76e-05,1.62e-02
1,29,R21,3.77e+01,1.17e-03,1.13e-01
2,29,R26r,8.92e+01,1.13e-04,2.59e-02
3,29,R27,7.81e+01,1.22e-03,2.44e-01
4,29,RR9,1.32e+01,4.68e-03,1.59e-01
5,29,R80,4.00e+06,4.44e-09,4.57e-02
6,29,R25,1.51e+02,2.25e-04,8.68e-02
7,29,R24,1.08e+02,3.64e-05,1.01e-02
8,29,R23r,3.26e+01,3.97e-04,3.33e-02
9,29,R10c,1.10e+02,3.26e-06,9.23e-04
10,29,R41,7.59e+01,1.45e-04,2.83e-02
11,29,R40,1.23e+02,1.32e-04,4.17e-02
12,29,R6r,7.84e+03,4.58e-07,9.23e-03
13,29,R5r,7.99e+00,5.97e-04,1.22e-02
14,29,R14r,1.67e+01,4.44e-04,1.91e-02
15,29,R2r,3.22e+02,5.11e-06,4.22e-03
16,29,R4,2.54e+01,2.57e-04,1.68e-02
17,29,R28r,2.82e+02,1.84e-05,1.33e-02
18,29,R13r,4.64e+01,3.05e-06,3.63e-04
19,29,R61r,7.99e+01,2.86e-04,5.87e-02
20,29,R10a,2.41e+02,2.13e-05,1.32e-02
21,29,R1,1.04e+02,8.76e-05,2.34e-02
22,29,R10b,4.10e+02,9.36e-06,9.85e-03
23,29,R60,2.47e+02,1.85e-05,1.18e-02
24,29,R93,9.97e+01,9.29e-06,2.38e-03
25,29,R12r,1.36e+03,1.19e-08,4.17e-05
26,29,R11r,1.34e+02,2.27e-07,7.82e-05
27,29,R70,9.95e+01,1.63e-06,4.17e-04
0,291,R91,1.00e+02,2.24e-05,2.45e-03
1,291,R55b,5.88e+01,7.56e-05,4.85e-03
2,291,R55a,9.13e+01,6.96e-05,6.93e-03
3,291,R22,3.59e+02,2.21e-06,8.67e-04
4,291,R21,3.77e+01,1.12e-03,4.62e-02
5,291,R3,1.15e+02,5.31e-04,6.66e-02
6,291,R27,7.81e+01,6.29e-03,5.36e-01
7,291,R7rb,3.90e+02,4.28e-05,1.82e-02
8,291,R24,1.08e+02,5.95e-06,7.04e-04
9,291,R23r,3.26e+01,3.22e-05,1.15e-03
10,291,R10c,1.10e+02,1.41e-04,1.70e-02
11,291,R41,7.59e+01,1.52e-05,1.26e-03
