,efm,reaction,kcat,dq/dk,dlogq/dlogk
0,629,r91,1.00e+02,4.09e-05,5.87e-03
1,629,r55b,5.88e+01,1.47e-04,1.24e-02
2,629,r55a,9.13e+01,1.25e-04,1.64e-02
3,629,r22,3.59e+02,1.46e-06,7.51e-04
4,629,r21,3.77e+01,2.04e-03,1.11e-01
5,629,r3,1.15e+02,6.05e-04,9.99e-02
6,629,r27,7.81e+01,1.47e-03,1.65e-01
7,629,rr9,1.32e+01,7.37e-04,1.40e-02
8,629,r7rb,3.90e+02,7.94e-05,4.45e-02
9,629,r24,1.08e+02,3.02e-06,4.70e-04
10,629,r23r,3.26e+01,2.61e-05,1.22e-03
11,629,r10c,1.10e+02,8.75e-07,1.38e-04
12,629,r40,1.23e+02,1.45e-04,2.56e-02
13,629,r6r,7.84e+03,2.88e-06,3.24e-02
14,629,r5r,7.99e+00,8.50e-03,9.75e-02
15,629,r15r,7.53e+01,1.61e-05,1.74e-03
16,629,r2r,3.22e+02,3.95e-05,1.82e-02
17,629,r28r,2.82e+02,1.75e-05,7.09e-03
18,629,r27b,1.79e+02,3.67e-04,9.45e-02
19,629,r7ra,2.33e+02,3.31e-04,1.11e-01
20,629,r7rc,5.31e+01,4.13e-04,3.15e-02
21,629,r10a,2.41e+02,1.52e-07,5.28e-05
22,629,r1,1.04e+02,5.05e-04,7.55e-02
23,629,r10b,4.10e+02,3.82e-08,2.25e-05
24,629,r29r,2.11e+02,5.42e-06,1.64e-03
25,629,r93,9.97e+01,8.03e-06,1.15e-03
26,629,r8r,2.11e+02,8.78e-05,2.66e-02
27,629,r12r,1.36e+03,2.07e-08,4.04e-05
28,629,r11r,1.34e+02,3.94e-07,7.57e-05
29,629,r95,1.00e+02,3.02e-05,4.33e-03
30,629,r70,9.95e+01,1.29e-06,1.84e-04
0,630,r91,1.00e+02,3.80e-05,5.70e-03
1,630,r55b,5.88e+01,1.32e-04,1.16e-02
2,630,r55a,9.13e+01,1.14e-04,1.56e-02
3,630,r22,3.59e+02,1.31e-06,7.02e-04
4,630,r21,3.77e+01,1.96e-03,1.11e-01
5,630,r3,1.15e+02,6.35e-04,1.09e-01
6,630,r27,7.81e+01,1.34e-03,1.57e-01
7,630,r7rb,3.90e+02,7.68e-05,4.49e-02
8,630,r24,1.08e+02,2.72e-06,4.41e-04
9,630,r23r,3.26e+01,2.50e-05,1.22e-03
10,630,r10c,1.10e+02,8.68e-07,1.43e-04
11,630,r40,1.23e+02,1.32e-04,2.45e-02
12,630,r6r,7.84e+03,2.97e-06,3.49e-02
13,630,r5r,7.99e+00,8.65e-03,1.04e-01
14,630,r15r,7.53e+01,1.91e-05,2.15e-03
15,630,r2r,3.22e+02,4.05e-05,1.95e-02
16,630,r28r,2.82e+02,1.72e-05,7.28e-03
17,630,r27b,1.79e+02,3.41e-04,9.15e-02
18,630,r7ra,2.33e+02,3.65e-04,1.27e-01
19,630,r7rc,5.31e+01,3.97e-04,3.16e-02
20,630,r10a,2.41e+02,1.49e-07,5.37e-05
21,630,r1,1.04e+02,4.21e-04,6.56e-02
22,630,r10b,4.10e+02,3.63e-08,2.23e-05
23,630,r94,1.00e+02,4.04e-06,6.06e-04
24,630,r53r,1.39e+02,1.50e-06,3.12e-04
25,630,r29r,2.11e+02,5.13e-06,1.62e-03
26,630,r93,9.97e+01,8.03e-06,1.20e-03
27,630,r8r,2.11e+02,8.31e-05,2.62e-02
28,630,r12r,1.36e+03,2.19e-08,4.48e-05
29,630,r11r,1.34e+02,4.11e-07,8.24e-05
30,630,r95,1.00e+02,2.88e-05,4.31e-03
31,630,r70,9.95e+01,1.33e-06,1.98e-04
0,633,r91,1.00e+02,3.81e-05,8.42e-04
1,633,r55b,5.88e+01,9.62e-05,1.25e-03
2,633,r54ra,3.51e-01,6.96e+00,5.40e-01
3,633,r55a,9.13e+01,6.85e-05,1.38e-03
4,633,r22,3.59e+02,1.03e-06,8.14e-05
5,633,r21,3.77e+01,1.43e-02,1.19e-01
6,633,r54rb,3.24e+02,2.17e-04,1.55e-02
7,633,r3,1.15e+02,2.40e-03,6.11e-02
8,633,rr9,1.32e+01,3.25e-04,9.51e-04
9,633,r7rb,3.90e+02,4.10e-04,3.54e-02
10,633,r24,1.08e+02,3.41e-06,8.18e-05
11,633,r23r,3.26e+01,2.18e-05,1.57e-04
12,633,r10c,1.10e+02,1.03e-06,2.50e-05
13,633,r40,1.23e+02,2.36e-04,6.42e-03
14,633,r6r,7.84e+03,7.95e-06,1.38e-02
15,633,r5r,7.99e+00,2.19e-02,3.87e-02
16,633,r15r,7.53e+01,1.07e-05,1.78e-04
17,633,r2r,3.22e+02,1.11e-04,7.91e-03
18,633,r28r,2.82e+02,2.81e-05,1.75e-03
19,633,r27b,1.79e+02,9.62e-05,3.81e-03
20,633,r7ra,2.33e+02,9.85e-04,5.07e-02
21,633,r7rc,5.31e+01,1.46e-03,1.71e-02
22,633,r10a,2.41e+02,2.37e-07,1.26e-05
23,633,r1,1.04e+02,2.83e-03,6.51e-02
24,633,r10b,4.10e+02,7.69e-08,6.96e-06
25,633,r29r,2.11e+02,4.08e-06,1.90e-04
26,633,r93,9.97e+01,8.03e-06,1.77e-04
27,633,r8r,2.11e+02,3.55e-04,1.65e-02
28,633,r12r,1.36e+03,2.03e-08,6.11e-06
29,633,r11r,1.34e+02,3.55e-07,1.05e-05
30,633,r95,1.00e+02,6.92e-05,1.53e-03
31,633,r70,9.95e+01,1.18e-06,2.60e-05
0,635,r91,1.00e+02,3.59e-05,7.78e-04
1,635,r55b,5.88e+01,8.99e-05,1.15e-03
2,635,r54ra,3.51e-01,7.25e+00,5.52e-01
3,635,r55a,9.13e+01,6.41e-05,1.27e-03
4,635,r22,3.59e+02,1.00e-06,7.79e-05
5,635,r21,3.77e+01,1.44e-02,1.18e-01
6,635,r54rb,3.24e+02,2.21e-04,1.55e-02
7,635,r3,1.15e+02,2.41e-03,6.01e-02
8,635,r7rb,3.90e+02,4.10e-04,3.46e-02
9,635,r24,1.08e+02,3.38e-06,7.95e-05
10,635,r23r,3.26e+01,2.16e-05,1.53e-04
11,635,r10c,1.10e+02,1.02e-06,2.45e-05
12,635,r40,1.23e+02,2.18e-04,5.82e-03
13,635,r6r,7.84e+03,7.83e-06,1.33e-02
14,635,r5r,7.99e+00,2.16e-02,3.74e-02
15,635,r15r,7.53e+01,1.06e-05,1.73e-04
16,635,r2r,3.22e+02,1.10e-04,7.68e-03
17,635,r28r,2.82e+02,2.66e-05,1.63e-03
18,635,r27b,1.79e+02,9.09e-05,3.53e-03
19,635,r7ra,2.33e+02,9.77e-04,4.94e-02
20,635,r7rc,5.31e+01,1.44e-03,1.65e-02
21,635,r10a,2.41e+02,2.35e-07,1.23e-05
22,635,r1,1.04e+02,2.82e-03,6.36e-02
23,635,r10b,4.10e+02,7.54e-08,6.70e-06
24,635,r29r,2.11e+02,3.47e-06,1.59e-04
25,635,r93,9.97e+01,8.03e-06,1.73e-04
26,635,r8r,2.11e+02,3.50e-04,1.60e-02
27,635,r12r,1.36e+03,1.93e-08,5.69e-06
28,635,r11r,1.34e+02,3.42e-07,9.94e-06
29,635,r95,1.00e+02,6.55e-05,1.42e-03
30,635,r70,9.95e+01,1.14e-06,2.46e-05
0,636,r91,1.00e+02,3.04e-05,5.56e-03
1,636,r55b,5.88e+01,1.14e-04,1.22e-02
2,636,r55a,9.13e+01,9.73e-05,1.62e-02
3,636,r22,3.59e+02,1.68e-06,1.10e-03
4,636,r21,3.77e+01,1.61e-03,1.11e-01
5,636,r3,1.15e+02,4.73e-04,9.92e-02
6,636,rr9,1.32e+01,5.31e-04,1.28e-02
7,636,r80,7.10e+01,1.87e-03,2.42e-01
8,636,r7rb,3.90e+02,6.59e-05,4.69e-02
9,636,r24,1.08e+02,3.46e-06,6.84e-04
10,636,r23r,3.26e+01,2.76e-05,1.64e-03
11,636,r10c,1.10e+02,8.84e-07,1.78e-04
12,636,r40,1.23e+02,1.14e-04,2.56e-02
13,636,r6r,7.84e+03,2.24e-06,3.20e-02
14,636,r5r,7.99e+00,6.64e-03,9.67e-02
15,636,r15r,7.53e+01,1.44e-05,1.97e-03
16,636,r2r,3.22e+02,3.09e-05,1.81e-02
17,636,r28r,2.82e+02,1.22e-05,6.28e-03
18,636,r27b,1.79e+02,5.47e-05,1.79e-02
19,636,r7ra,2.33e+02,2.48e-04,1.05e-01
20,636,r7rc,5.31e+01,3.36e-04,3.26e-02
21,636,r10a,2.41e+02,1.57e-07,6.91e-05
22,636,r1,1.04e+02,4.08e-04,7.73e-02
23,636,r10b,4.10e+02,4.04e-08,3.02e-05
24,636,r29r,2.11e+02,3.65e-06,1.40e-03
25,636,r93,9.97e+01,8.03e-06,1.46e-03
26,636,r8r,2.11e+02,7.25e-05,2.79e-02
27,636,r12r,1.36e+03,1.99e-08,4.95e-05
28,636,r11r,1.34e+02,3.82e-07,9.33e-05
29,636,r95,1.00e+02,2.95e-05,5.38e-03
30,636,r70,9.95e+01,1.29e-06,2.34e-04
0,637,r91,1.00e+02,2.86e-05,5.37e-03
1,637,r55b,5.88e+01,1.06e-04,1.17e-02
2,637,r55a,9.13e+01,9.14e-05,1.57e-02
3,637,r22,3.59e+02,1.60e-06,1.08e-03
4,637,r21,3.77e+01,1.57e-03,1.11e-01
5,637,r3,1.15e+02,4.86e-04,1.05e-01
6,637,r80,7.10e+01,1.78e-03,2.37e-01
7,637,r7rb,3.90e+02,6.54e-05,4.79e-02
8,637,r24,1.08e+02,3.27e-06,6.66e-04
9,637,r23r,3.26e+01,2.71e-05,1.66e-03
10,637,r10c,1.10e+02,8.79e-07,1.82e-04
11,637,r40,1.23e+02,1.07e-04,2.47e-02
12,637,r6r,7.84e+03,2.29e-06,3.37e-02
13,637,r5r,7.99e+00,6.76e-03,1.01e-01
14,637,r15r,7.53e+01,1.55e-05,2.19e-03
15,637,r2r,3.22e+02,3.15e-05,1.91e-02
16,637,r28r,2.82e+02,1.17e-05,6.19e-03
17,637,r27b,1.79e+02,5.41e-05,1.82e-02
18,637,r7ra,2.33e+02,2.60e-04,1.14e-01
19,637,r7rc,5.31e+01,3.35e-04,3.34e-02
20,637,r10a,2.41e+02,1.55e-07,7.00e-05
21,637,r1,1.04e+02,3.66e-04,7.14e-02
22,637,r10b,4.10e+02,3.93e-08,3.02e-05
23,637,r94,1.00e+02,4.03e-06,7.58e-04
24,637,r53r,1.39e+02,1.46e-06,3.82e-04
25,637,r29r,2.11e+02,3.54e-06,1.40e-03
26,637,r93,9.97e+01,8.03e-06,1.50e-03
27,637,r8r,2.11e+02,7.16e-05,2.84e-02
28,637,r12r,1.36e+03,2.04e-08,5.22e-05
29,637,r11r,1.34e+02,3.89e-07,9.79e-05
30,637,r95,1.00e+02,2.82e-05,5.29e-03
31,637,r70,9.95e+01,1.31e-06,2.44e-04
0,638,r22,3.59e+02,1.62e-05,6.45e-03
1,638,r21,3.77e+01,1.35e-03,5.65e-02
2,638,r26r,8.92e+01,6.09e-05,6.01e-03
3,638,r3,1.15e+02,7.38e-04,9.40e-02
4,638,r7rb,3.90e+02,1.24e-04,5.37e-02
5,638,r25,1.51e+02,1.69e-04,2.81e-02
6,638,r24,1.08e+02,3.78e-05,4.54e-03
7,638,r23r,3.26e+01,3.63e-04,1.31e-02
8,638,r10c,1.10e+02,8.46e-07,1.03e-04
9,638,r40,1.23e+02,3.98e-04,5.43e-02
10,638,r6r,7.84e+03,5.64e-06,4.89e-02
11,638,r5r,7.99e+00,1.75e-02,1.54e-01
12,638,r15r,7.53e+01,1.41e-05,1.18e-03
13,638,r2r,3.22e+02,6.21e-05,2.21e-02
14,638,r28r,2.82e+02,4.27e-05,1.33e-02
15,638,r27b,1.79e+02,4.02e-04,7.98e-02
16,638,r7ra,2.33e+02,5.83e-04,1.51e-01
17,638,r7rc,5.31e+01,8.50e-04,5.00e-02
18,638,r10a,2.41e+02,1.37e-07,3.66e-05
19,638,r1,1.04e+02,7.51e-04,8.65e-02
20,638,r10b,4.10e+02,3.07e-08,1.39e-05
21,638,r94,1.00e+02,8.67e-05,9.61e-03
22,638,r53r,1.39e+02,4.28e-05,6.61e-03
23,638,r29r,2.11e+02,1.84e-05,4.29e-03
24,638,r93,9.97e+01,8.03e-06,8.86e-04
25,638,r8r,2.11e+02,1.74e-04,4.07e-02
26,638,r12r,1.36e+03,1.98e-08,2.99e-05
27,638,r11r,1.34e+02,3.90e-07,5.78e-05
28,638,r95,1.00e+02,1.27e-04,1.41e-02
29,638,r70,9.95e+01,1.08e-06,1.19e-04
0,639,r54ra,3.51e-01,1.64e+01,7.17e-01
1,639,r22,3.59e+02,6.72e-07,2.99e-05
2,639,r21,3.77e+01,1.90e-02,8.89e-02
3,639,r54rb,3.24e+02,3.48e-04,1.40e-02
4,639,r3,1.15e+02,2.80e-03,3.99e-02
5,639,r27,7.81e+01,1.58e-04,1.53e-03
6,639,r9,5.13e+02,3.86e-06,2.46e-04
7,639,r7rb,3.90e+02,4.40e-04,2.13e-02
8,639,r24,1.08e+02,2.90e-06,3.90e-05
9,639,r23r,3.26e+01,1.93e-05,7.82e-05
10,639,r10c,1.10e+02,2.88e-06,3.94e-05
11,639,r40,1.23e+02,9.01e-06,1.38e-04
12,639,r6r,7.84e+03,6.93e-06,6.74e-03
13,639,r5r,7.99e+00,1.86e-02,1.84e-02
14,639,r15r,7.53e+01,5.99e-06,5.60e-05
15,639,r14r,1.67e+01,4.41e-05,9.16e-05
16,639,r2r,3.22e+02,1.01e-04,4.05e-03
17,639,r27b,1.79e+02,1.13e-05,2.52e-04
18,639,r7ra,2.33e+02,9.94e-04,2.88e-02
19,639,r7rc,5.31e+01,1.30e-03,8.57e-03
20,639,r13r,4.64e+01,3.12e-06,1.79e-05
21,639,r10a,2.41e+02,8.95e-07,2.68e-05
22,639,r1,1.04e+02,3.22e-03,4.15e-02
23,639,r10b,4.10e+02,3.80e-07,1.93e-05
24,639,r93,9.97e+01,8.03e-06,9.93e-05
25,639,r8r,2.11e+02,3.27e-04,8.56e-03
26,639,r12r,1.36e+03,2.13e-08,3.60e-06
27,639,r70,9.95e+01,9.28e-07,1.15e-05
0,640,r54ra,3.51e-01,8.31e+00,5.46e-01
1,640,r22,3.59e+02,1.96e-05,1.32e-03
2,640,r21,3.77e+01,1.39e-02,9.83e-02
3,640,r54rb,3.24e+02,2.53e-04,1.54e-02
4,640,r26r,8.92e+01,6.27e-05,1.05e-03
5,640,r3,1.15e+02,2.77e-03,5.97e-02
6,640,r7rb,3.90e+02,4.85e-04,3.54e-02
7,640,r25,1.51e+02,5.67e-04,1.60e-02
8,640,r24,1.08e+02,7.36e-05,1.49e-03
9,640,r23r,3.26e+01,3.66e-04,2.23e-03
10,640,r10c,1.10e+02,1.02e-06,2.10e-05
11,640,r40,1.23e+02,3.21e-04,7.41e-03
12,640,r6r,7.84e+03,9.48e-06,1.39e-02
13,640,r5r,7.99e+00,2.63e-02,3.93e-02
14,640,r15r,7.53e+01,1.07e-05,1.51e-04
15,640,r2r,3.22e+02,1.32e-04,7.92e-03
16,640,r28r,2.82e+02,2.74e-05,1.45e-03
17,640,r27b,1.79e+02,9.53e-05,3.20e-03
18,640,r7ra,2.33e+02,1.18e-03,5.14e-02
19,640,r7rc,5.31e+01,1.71e-03,1.70e-02
20,640,r10a,2.41e+02,2.33e-07,1.05e-05
21,640,r1,1.04e+02,3.16e-03,6.15e-02
22,640,r10b,4.10e+02,7.44e-08,5.70e-06
23,640,r94,1.00e+02,3.32e-05,6.21e-04
24,640,r53r,1.39e+02,1.08e-05,2.83e-04
25,640,r29r,2.11e+02,1.50e-06,5.93e-05
26,640,r93,9.97e+01,8.03e-06,1.50e-04
27,640,r8r,2.11e+02,4.15e-04,1.64e-02
28,640,r12r,1.36e+03,1.93e-08,4.92e-06
29,640,r11r,1.34e+02,3.44e-07,8.62e-06
30,640,r95,1.00e+02,9.88e-05,1.85e-03
31,640,r70,9.95e+01,7.81e-07,1.45e-05
0,641,r91,1.00e+02,4.04e-05,5.25e-03
1,641,r55b,5.88e+01,1.67e-04,1.27e-02
2,641,r55a,9.13e+01,1.30e-04,1.54e-02
3,641,r22,3.59e+02,8.22e-07,3.82e-04
4,641,r21,3.77e+01,2.18e-03,1.07e-01
5,641,r3,1.15e+02,6.39e-04,9.52e-02
6,641,r7rb,3.90e+02,1.06e-04,5.34e-02
7,641,r24,1.08e+02,1.77e-06,2.49e-04
8,641,r23r,3.26e+01,2.13e-05,9.00e-04
9,641,r10c,1.10e+02,8.47e-07,1.21e-04
10,641,r40,1.23e+02,2.88e-04,4.61e-02
11,641,r6r,7.84e+03,4.60e-06,4.67e-02
12,641,r5r,7.99e+00,1.42e-02,1.47e-01
13,641,r15r,7.53e+01,1.40e-05,1.36e-03
14,641,r2r,3.22e+02,5.23e-05,2.18e-02
15,641,r28r,2.82e+02,4.00e-05,1.46e-02
16,641,r27b,1.79e+02,3.52e-04,8.18e-02
17,641,r7ra,2.33e+02,4.75e-04,1.43e-01
18,641,r7rc,5.31e+01,7.05e-04,4.86e-02
19,641,r10a,2.41e+02,1.38e-07,4.30e-05
20,641,r1,1.04e+02,6.81e-04,9.17e-02
21,641,r10b,4.10e+02,3.10e-08,1.65e-05
22,641,r94,1.00e+02,4.28e-05,5.55e-03
23,641,r53r,1.39e+02,1.96e-05,3.54e-03
24,641,r29r,2.11e+02,1.72e-05,4.70e-03
25,641,r93,9.97e+01,8.03e-06,1.04e-03
26,641,r8r,2.11e+02,1.46e-04,3.99e-02
27,641,r12r,1.36e+03,1.97e-08,3.47e-05
28,641,r11r,1.34e+02,3.88e-07,6.73e-05
29,641,r95,1.00e+02,9.09e-05,1.18e-02
30,641,r70,9.95e+01,1.18e-06,1.52e-04
0,64,r22,3.59e+02,6.35e-05,2.83e-02
1,64,r21,3.77e+01,1.45e-03,6.80e-02
2,64,r26r,8.92e+01,1.61e-04,1.78e-02
3,64,r27,7.81e+01,4.18e-03,4.05e-01
4,64,rr9,1.32e+01,5.10e-03,8.38e-02
5,64,r25,1.51e+02,3.76e-04,7.02e-02
6,64,r24,1.08e+02,1.49e-04,2.01e-02
7,64,r23r,3.26e+01,7.70e-04,3.11e-02
8,64,r40,1.23e+02,3.67e-05,5.62e-03
9,64,r6r,7.84e+03,7.47e-07,7.26e-03
10,64,r5r,7.99e+00,1.03e-03,1.02e-02
11,64,r15r,7.53e+01,1.37e-04,1.28e-02
12,64,r14r,1.67e+01,1.22e-04,2.54e-03
13,64,r2r,3.22e+02,2.27e-06,9.08e-04
14,64,r4,2.54e+01,4.05e-04,1.28e-02
15,64,r28r,2.82e+02,2.56e-05,8.95e-03
16,64,r27b,1.79e+02,3.98e-04,8.85e-02
17,64,r13r,4.64e+01,6.85e-05,3.94e-03
18,64,r61r,7.99e+01,5.66e-04,5.61e-02
19,64,r10a,2.41e+02,3.45e-05,1.03e-02
20,64,r1,1.04e+02,2.15e-04,2.78e-02
21,64,r10b,4.10e+02,1.62e-05,8.26e-03
22,64,r60,2.47e+02,3.07e-05,9.43e-03
23,64,r29r,2.11e+02,2.12e-05,5.53e-03
24,64,r93,9.97e+01,8.03e-06,9.93e-04
25,64,r12r,1.36e+03,4.68e-07,7.92e-04
26,64,r11r,1.34e+02,7.25e-06,1.20e-03
27,64,r70,9.95e+01,1.41e-05,1.74e-03
0,642,r91,1.00e+02,3.59e-05,8.30e-04
1,642,r55b,5.88e+01,9.01e-05,1.22e-03
2,642,r54ra,3.51e-01,6.62e+00,5.37e-01
3,642,r55a,9.13e+01,6.42e-05,1.35e-03
4,642,r22,3.59e+02,9.86e-07,8.17e-05
5,642,r21,3.77e+01,1.37e-02,1.20e-01
6,642,r54rb,3.24e+02,2.08e-04,1.56e-02
7,642,r3,1.15e+02,2.33e-03,6.18e-02
8,642,r7rb,3.90e+02,3.97e-04,3.58e-02
9,642,r24,1.08e+02,3.32e-06,8.31e-05
10,642,r23r,3.26e+01,2.15e-05,1.62e-04
11,642,r10c,1.10e+02,1.02e-06,2.59e-05
12,642,r40,1.23e+02,2.19e-04,6.22e-03
13,642,r6r,7.84e+03,7.71e-06,1.40e-02
14,642,r5r,7.99e+00,2.13e-02,3.93e-02
15,642,r15r,7.53e+01,1.06e-05,1.85e-04
16,642,r2r,3.22e+02,1.08e-04,8.04e-03
17,642,r28r,2.82e+02,2.67e-05,1.74e-03
18,642,r27b,1.79e+02,9.15e-05,3.79e-03
19,642,r7ra,2.33e+02,9.53e-04,5.13e-02
20,642,r7rc,5.31e+01,1.41e-03,1.73e-02
21,642,r10a,2.41e+02,2.31e-07,1.29e-05
22,642,r1,1.04e+02,2.72e-03,6.54e-02
23,642,r10b,4.10e+02,7.37e-08,6.98e-06
24,642,r94,1.00e+02,3.93e-06,9.08e-05
25,642,r53r,1.39e+02,1.28e-06,4.13e-05
26,642,r29r,2.11e+02,3.58e-06,1.74e-04
27,642,r93,9.97e+01,8.03e-06,1.85e-04
28,642,r8r,2.11e+02,3.43e-04,1.67e-02
29,642,r12r,1.36e+03,1.92e-08,6.05e-06
30,642,r11r,1.34e+02,3.43e-07,1.06e-05
31,642,r95,1.00e+02,6.57e-05,1.52e-03
32,642,r70,9.95e+01,1.14e-06,2.62e-05
0,647,r22,3.59e+02,2.22e-05,1.61e-02
1,647,r21,3.77e+01,6.68e-04,5.11e-02
2,647,r26r,8.92e+01,6.22e-05,1.12e-02
3,647,r3,1.15e+02,3.08e-04,7.18e-02
4,647,r27,7.81e+01,2.60e-03,4.11e-01
5,647,r7rb,3.90e+02,1.36e-05,1.08e-02
6,647,r25,1.51e+02,1.52e-04,4.63e-02
7,647,r24,1.08e+02,5.55e-05,1.22e-02
8,647,r23r,3.26e+01,3.17e-04,2.10e-02
9,647,r10c,1.10e+02,5.90e-05,1.32e-02
10,647,r41,7.59e+01,4.57e-06,7.03e-04
11,647,r40,1.23e+02,1.39e-05,3.47e-03
12,647,r6r,7.84e+03,8.93e-07,1.42e-02
13,647,r5r,7.99e+00,2.42e-03,3.91e-02
14,647,r15r,7.53e+01,1.47e-04,2.24e-02
15,647,r14r,1.67e+01,2.23e-03,7.58e-02
16,647,r28r,2.82e+02,9.61e-06,5.49e-03
17,647,r27b,1.79e+02,2.42e-04,8.78e-02
18,647,r7ra,2.33e+02,6.37e-05,3.01e-02
19,647,r7rc,5.31e+01,7.30e-05,7.85e-03
20,647,r13r,4.64e+01,2.57e-05,2.41e-03
21,647,r10a,2.41e+02,1.52e-05,7.40e-03
22,647,r1,1.04e+02,8.68e-05,1.83e-02
23,647,r10b,4.10e+02,7.59e-06,6.30e-03
24,647,r29r,2.11e+02,7.23e-06,3.09e-03
25,647,r93,9.97e+01,8.03e-06,1.62e-03
26,647,r8r,2.11e+02,1.36e-05,5.81e-03
27,647,r12r,1.36e+03,1.74e-08,4.80e-05
28,647,r11r,1.34e+02,1.27e-05,3.45e-03
29,647,r70,9.95e+01,3.36e-07,6.78e-05
0,652,r22,3.59e+02,1.69e-05,1.70e-02
1,652,r21,3.77e+01,4.48e-04,4.73e-02
2,652,r26r,8.92e+01,3.63e-05,9.07e-03
3,652,r3,1.15e+02,1.59e-04,5.14e-02
4,652,r27,7.81e+01,1.87e-04,4.09e-02
5,652,r80,7.10e+01,2.52e-03,5.02e-01
6,652,r7rb,3.90e+02,1.24e-05,1.36e-02
7,652,r25,1.51e+02,8.11e-05,3.42e-02
8,652,r24,1.08e+02,4.34e-05,1.32e-02
9,652,r23r,3.26e+01,1.87e-04,1.71e-02
10,652,r10c,1.10e+02,5.01e-05,1.55e-02
11,652,r41,7.59e+01,3.87e-08,8.22e-06
12,652,r40,1.23e+02,8.24e-06,2.85e-03
13,652,r6r,7.84e+03,6.15e-07,1.35e-02
14,652,r5r,7.99e+00,1.70e-03,3.81e-02
15,652,r15r,7.53e+01,9.14e-05,1.93e-02
16,652,r14r,1.67e+01,1.33e-03,6.23e-02
17,652,r28r,2.82e+02,6.00e-06,4.74e-03
18,652,r7ra,2.33e+02,4.46e-05,2.92e-02
19,652,r7rc,5.31e+01,6.17e-05,9.19e-03
20,652,r13r,4.64e+01,1.96e-05,2.54e-03
21,652,r10a,2.41e+02,1.49e-05,1.01e-02
22,652,r1,1.04e+02,7.55e-05,2.20e-02
23,652,r10b,4.10e+02,7.71e-06,8.86e-03
24,652,r29r,2.11e+02,4.90e-06,2.89e-03
25,652,r93,9.97e+01,8.03e-06,2.24e-03
26,652,r8r,2.11e+02,1.22e-05,7.21e-03
27,652,r12r,1.36e+03,1.55e-08,5.93e-05
28,652,r11r,1.34e+02,1.04e-05,3.89e-03
29,652,r70,9.95e+01,3.13e-07,8.72e-05
0,654,r54ra,3.51e-01,1.55e+01,7.15e-01
1,654,r22,3.59e+02,6.76e-07,3.19e-05
2,654,r21,3.77e+01,1.80e-02,8.90e-02
3,654,r54rb,3.24e+02,3.28e-04,1.40e-02
4,654,r3,1.15e+02,2.65e-03,4.00e-02
5,654,r9,5.13e+02,3.72e-06,2.50e-04
6,654,r80,7.10e+01,2.73e-04,2.55e-03
7,654,r7rb,3.90e+02,4.16e-04,2.13e-02
8,654,r24,1.08e+02,2.91e-06,4.14e-05
9,654,r23r,3.26e+01,1.94e-05,8.29e-05
10,654,r10c,1.10e+02,2.89e-06,4.18e-05
11,654,r40,1.23e+02,9.06e-06,1.47e-04
12,654,r6r,7.84e+03,6.57e-06,6.76e-03
13,654,r5r,7.99e+00,1.76e-02,1.85e-02
14,654,r15r,7.53e+01,6.00e-06,5.93e-05
15,654,r14r,1.67e+01,4.41e-05,9.71e-05
16,654,r2r,3.22e+02,9.60e-05,4.06e-03
17,654,r7ra,2.33e+02,9.40e-04,2.88e-02
18,654,r7rc,5.31e+01,1.23e-03,8.60e-03
19,654,r13r,4.64e+01,3.13e-06,1.90e-05
20,654,r10a,2.41e+02,8.98e-07,2.84e-05
21,654,r1,1.04e+02,3.04e-03,4.16e-02
22,654,r10b,4.10e+02,3.82e-07,2.06e-05
23,654,r93,9.97e+01,8.03e-06,1.05e-04
24,654,r8r,2.11e+02,3.10e-04,8.59e-03
25,654,r12r,1.36e+03,2.14e-08,3.83e-06
26,654,r70,9.95e+01,9.31e-07,1.22e-05
0,656,r22,3.59e+02,2.19e-05,1.62e-02
1,656,r21,3.77e+01,6.58e-04,5.12e-02
2,656,r26r,8.92e+01,6.10e-05,1.12e-02
3,656,r3,1.15e+02,3.04e-04,7.20e-02
4,656,r27,7.81e+01,2.55e-03,4.11e-01
5,656,r9,5.13e+02,9.23e-08,9.77e-05
6,656,r7rb,3.90e+02,1.34e-05,1.08e-02
7,656,r25,1.51e+02,1.49e-04,4.61e-02
8,656,r24,1.08e+02,5.46e-05,1.22e-02
9,656,r23r,3.26e+01,3.12e-04,2.10e-02
10,656,r10c,1.10e+02,5.84e-05,1.33e-02
11,656,r40,1.23e+02,7.63e-06,1.94e-03
12,656,r6r,7.84e+03,8.82e-07,1.43e-02
13,656,r5r,7.99e+00,2.39e-03,3.93e-02
14,656,r15r,7.53e+01,1.45e-04,2.25e-02
15,656,r14r,1.67e+01,2.21e-03,7.62e-02
16,656,r28r,2.82e+02,9.43e-06,5.48e-03
17,656,r27b,1.79e+02,2.38e-04,8.80e-02
18,656,r7ra,2.33e+02,6.27e-05,3.02e-02
19,656,r7rc,5.31e+01,7.17e-05,7.86e-03
20,656,r13r,4.64e+01,2.54e-05,2.43e-03
21,656,r10a,2.41e+02,1.51e-05,7.52e-03
22,656,r1,1.04e+02,8.63e-05,1.85e-02
23,656,r10b,4.10e+02,7.58e-06,6.40e-03
24,656,r29r,2.11e+02,8.13e-06,3.53e-03
25,656,r93,9.97e+01,8.03e-06,1.65e-03
26,656,r8r,2.11e+02,1.33e-05,5.80e-03
