,efm,reaction,dq/dKeq,dlogq/dlogKeq
146,13,r95,0.00e+00,0.00e+00
147,13,rr9,0.00e+00,0.00e+00
148,14,r1,0.00e+00,0.00e+00
149,14,r10a,0.00e+00,0.00e+00
150,14,r10b,0.00e+00,0.00e+00
151,14,r10c,0.00e+00,0.00e+00
152,14,r12r,-1.35e-04,-1.42e-04
153,14,r13r,-1.73e-05,-2.84e-05
154,14,r14r,-5.44e-05,-2.21e-05
155,14,r15r,9.27e-05,1.57e-03
156,14,r21,0.00e+00,0.00e+00
157,14,r22,0.00e+00,0.00e+00
158,14,r23r,-4.66e-01,-1.55e-02
159,14,r24,0.00e+00,0.00e+00
160,14,r25,0.00e+00,0.00e+00
161,14,r26r,-5.59e-02,-1.32e-02
162,14,r27,0.00e+00,0.00e+00
163,14,r27b,0.00e+00,0.00e+00
164,14,r2r,5.94e-02,1.37e-02
165,14,r4,0.00e+00,0.00e+00
166,14,r40,0.00e+00,0.00e+00
167,14,r5r,1.58e+02,2.12e-02
168,14,r60,0.00e+00,0.00e+00
169,14,r61r,-8.94e-02,-3.86e-04
170,14,r6r,-2.58e-03,-1.31e-02
171,14,r93,0.00e+00,0.00e+00
172,14,r95,0.00e+00,0.00e+00
173,14,rr9,0.00e+00,0.00e+00
174,18,r1,0.00e+00,0.00e+00
175,18,r10a,0.00e+00,0.00e+00
176,18,r10b,0.00e+00,0.00e+00
177,18,r10c,0.00e+00,0.00e+00
178,18,r11r,1.90e-04,6.31e-04
179,18,r12r,-8.95e-05,-2.96e-04
180,18,r15r,1.26e-04,6.73e-03
181,18,r21,0.00e+00,0.00e+00
182,18,r22,0.00e+00,0.00e+00
183,18,r23r,-1.22e-01,-1.28e-02
184,18,r24,0.00e+00,0.00e+00
185,18,r25,0.00e+00,0.00e+00
186,18,r26r,-2.39e-03,-1.78e-03
187,18,r2r,1.84e-02,1.34e-02
188,18,r4,0.00e+00,0.00e+00
189,18,r40,0.00e+00,0.00e+00
190,18,r5r,4.45e+01,1.89e-02
191,18,r60,0.00e+00,0.00e+00
192,18,r61r,-2.34e-02,-3.20e-04
193,18,r6r,-7.00e-04,-1.12e-02
194,18,r80,0.00e+00,0.00e+00
195,18,r93,0.00e+00,0.00e+00
196,18,r95,0.00e+00,0.00e+00
197,18,rr9,0.00e+00,0.00e+00
198,19,r1,0.00e+00,0.00e+00
199,19,r10a,0.00e+00,0.00e+00
200,19,r10b,0.00e+00,0.00e+00
201,19,r11r,6.87e-04,2.24e-03
202,19,r12r,-3.01e-04,-9.77e-04
203,19,r13r,5.19e-04,2.66e-03
204,19,r14r,1.53e-03,1.93e-03
205,19,r15r,2.06e-04,1.08e-02
206,19,r21,0.00e+00,0.00e+00
207,19,r22,0.00e+00,0.00e+00
208,19,r23r,-1.26e-01,-1.31e-02
209,19,r24,0.00e+00,0.00e+00
210,19,r25,0.00e+00,0.00e+00
211,19,r26r,-2.51e-03,-1.83e-03
212,19,r2r,1.49e-02,1.06e-02
213,19,r4,0.00e+00,0.00e+00
214,19,r40,0.00e+00,0.00e+00
215,19,r5r,4.20e+01,1.75e-02
216,19,r60,0.00e+00,0.00e+00
217,19,r61r,-2.67e-02,-3.58e-04
218,19,r6r,-6.52e-04,-1.03e-02
219,19,r80,0.00e+00,0.00e+00
220,19,r93,0.00e+00,0.00e+00
221,19,r95,0.00e+00,0.00e+00
222,19,rr9,0.00e+00,0.00e+00
223,20,r1,0.00e+00,0.00e+00
224,20,r10a,0.00e+00,0.00e+00
225,20,r10b,0.00e+00,0.00e+00
226,20,r10c,0.00e+00,0.00e+00
227,20,r11r,-4.14e-05,-8.42e-05
228,20,r12r,-6.02e-05,-1.22e-04
229,20,r13r,-2.26e-06,-7.22e-06
230,20,r14r,-5.45e-05,-4.29e-05
231,20,r21,0.00e+00,0.00e+00
232,20,r22,0.00e+00,0.00e+00
233,20,r23r,-2.14e-01,-1.38e-02
234,20,r24,0.00e+00,0.00e+00
235,20,r25,0.00e+00,0.00e+00
236,20,r26r,-3.28e-02,-1.50e-02
237,20,r27,0.00e+00,0.00e+00
238,20,r27b,0.00e+00,0.00e+00
239,20,r28r,-2.48e-03,-1.02e-02
240,20,r2r,1.72e-02,7.66e-03
