,efm,reaction,metabolite,dq/dKm,dlogq/dlogKm,dmu/dKm,dlogmu/dlogKm
243,810,R91,acetateExt,-8.34e-05,-4.07e-05,1.21e-04,1.08e-07
244,823,R91,acetate,1.96e-03,2.46e-04,-3.30e-04,-8.73e-07
245,823,R91,acetateExt,-1.78e-04,-2.24e-05,2.99e-05,7.93e-08
246,826,R91,acetate,3.80e-03,2.14e-03,-6.65e-03,-1.87e-05
247,826,R91,acetateExt,-3.45e-04,-1.94e-04,6.04e-04,1.70e-06
248,834,R91,acetate,5.87e-05,5.70e-06,-6.20e-06,-5.64e-10
249,834,R91,acetateExt,-5.33e-06,-5.18e-07,5.63e-07,5.12e-11
250,84,R91,acetate,7.41e-03,2.74e-03,-7.30e-03,-3.26e-05
251,84,R91,acetateExt,-6.72e-04,-2.49e-04,6.62e-04,2.96e-06
252,850,R91,acetate,3.54e-03,2.18e-03,-6.94e-03,-1.87e-05
253,850,R91,acetateExt,-3.21e-04,-1.98e-04,6.30e-04,1.69e-06
254,866,R91,acetate,2.87e-04,1.69e-04,-5.33e-04,-9.79e-08
255,866,R91,acetateExt,-2.60e-05,-1.54e-05,4.84e-05,8.89e-09
256,920,R91,acetate,6.02e-04,6.41e-05,-7.53e-05,-7.54e-08
257,920,R91,acetateExt,-5.47e-05,-5.82e-06,6.83e-06,6.85e-09
258,923,R91,acetate,2.24e-03,2.48e-04,-3.02e-04,-9.08e-07
259,923,R91,acetateExt,-2.03e-04,-2.26e-05,2.74e-05,8.25e-08
260,936,R91,acetate,9.33e-04,4.42e-04,-1.30e-03,-1.15e-06
261,936,R91,acetateExt,-8.47e-05,-4.02e-05,1.18e-04,1.05e-07
262,948,R91,acetate,2.02e-03,2.53e-04,-3.38e-04,-9.06e-07
263,948,R91,acetateExt,-1.84e-04,-2.30e-05,3.07e-05,8.23e-08
264,95,R91,acetate,7.71e-03,2.73e-03,-7.14e-03,-3.22e-05
265,95,R91,acetateExt,-7.00e-04,-2.48e-04,6.48e-04,2.92e-06
266,954,R91,acetate,2.40e-04,1.38e-04,-4.33e-04,-6.56e-08
267,954,R91,acetateExt,-2.18e-05,-1.26e-05,3.93e-05,5.96e-09
268,959,R91,acetate,3.89e-03,2.13e-03,-6.58e-03,-1.88e-05
269,959,R91,acetateExt,-3.53e-04,-1.93e-04,5.97e-04,1.71e-06
270,968,R91,acetate,3.62e-03,2.17e-03,-6.87e-03,-1.87e-05
271,968,R91,acetateExt,-3.29e-04,-1.97e-04,6.23e-04,1.70e-06
272,98,R91,acetate,2.36e-02,7.68e-04,-3.17e-04,-4.02e-06
273,98,R91,acetateExt,-2.15e-03,-6.98e-05,2.87e-05,3.65e-07
274,9999,R91,acetate,1.40e-03,6.08e-04,-1.73e-03,-2.11e-06
275,9999,R91,acetateExt,-1.27e-04,-5.52e-05,1.57e-04,1.92e-07
276,1015,R55b,acetate,-6.80e-04,-7.63e-04,9.18e-06,9.79e-06
277,1015,R55b,acetylp,1.44e-01,7.23e-03,-1.94e-03,-9.28e-05
278,1015,R55b,adp,3.81e-02,5.00e-03,-5.15e-04,-6.42e-05
279,1015,R55b,atp,-1.96e-01,-4.56e-03,2.65e-03,5.86e-05
280,1016,R55b,acetate,-3.97e-04,-1.83e-03,7.47e-05,4.42e-05
