EFM,biomass yield [gr dw / mol C glc],"$\Sigma_i \frac{|v_i| \cdot w_i}{k_{\mathrm{cat},i}}$ [gr enz / gr dw h$^{-1}$]",total enzyme [gr enz / gr dw h$^{-1}$],growth rate [h$^{-1}$]
553,21.816,0.076,0.218,0.425
554,22.065,0.073,0.212,0.433
555,15.816,0.556,1.256,0.1
556,15.816,0.086,0.24,0.397
559,15.824,0.067,0.159,0.52
561,18.81,0.076,0.202,0.446
562,17.832,0.057,0.152,0.535
563,4.108,5.704,9.265,0.014
570,11.879,0.297,1.118,0.111
571,11.965,0.22,0.798,0.15
575,14.862,0.272,1.02,0.12
576,4.368,5.304,8.603,0.016
578,21.788,0.056,0.183,0.477
589,10.73,0.721,1.776,0.072
592,4.108,0.161,0.636,0.183
595,10.73,0.272,1.039,0.119
596,12.463,0.265,0.975,0.126
599,4.368,0.137,0.394,0.273
602,3.801,0.51,2.167,0.06
603,6.133,0.197,0.522,0.217
604,1.631,5.123,10.567,0.013
605,15.583,0.376,0.776,0.154
610,15.583,0.053,0.157,0.526
611,1.969,0.554,1.555,0.082
612,18.087,0.051,0.143,0.555
614,15.487,0.33,1.203,0.104
615,1.638,5.098,10.522,0.013
616,3.817,0.508,2.16,0.06
617,21.063,0.07,0.206,0.441
619,6.158,0.197,0.523,0.217
621,1.991,0.548,1.541,0.082
622,2.374,4.667,8.904,0.015
623,4.382,0.31,1.269,0.099
625,15.734,0.068,0.161,0.517
626,5.873,0.154,0.445,0.248
629,5.343,0.279,1.126,0.11
630,5.343,0.268,1.051,0.117
633,2.878,2.391,5.239,0.025
635,2.948,2.486,5.339,0.025
636,6.799,0.152,0.43,0.255
637,6.704,0.147,0.423,0.258
638,2.374,0.345,1.045,0.118
639,4.077,5.76,9.349,0.014
640,2.374,2.853,6.182,0.021
641,2.948,0.296,0.893,0.136
642,2.948,2.271,5.009,0.026
647,16.822,0.272,0.998,0.123
652,21.816,0.056,0.183,0.476
654,4.293,5.419,8.786,0.015
656,16.993,0.266,0.98,0.125
659,11.227,1.078,2.299,0.056
661,11.227,0.272,1.029,0.12
662,21.817,0.056,0.183,0.476
667,15.816,0.528,1.04,0.118
668,13.964,0.261,0.939,0.13
669,15.816,0.058,0.191,0.464
671,18.81,0.053,0.159,0.52
688,7.334,2.436,4.036,0.033
690,5.861,0.265,1.029,0.12
692,12.889,0.239,0.875,0.138
694,7.334,0.231,0.988,0.124
696,4.397,0.31,1.272,0.098
698,2.378,4.647,8.878,0.015
699,2.378,2.853,6.185,0.021
700,2.378,0.345,1.047,0.118
702,5.38,0.277,1.116,0.111
703,5.38,0.268,1.052,0.117
704,6.835,0.152,0.43,0.255
705,7.784,0.131,0.371,0.287
707,6.757,0.148,0.424,0.257
708,2.964,2.439,5.266,0.025
709,2.906,2.361,5.184,0.026
710,5.9,0.154,0.447,0.247
711,2.964,0.296,0.893,0.136
712,2.964,2.264,4.997,0.026
726,2.071,11.855,19.112,0.007
727,2.108,0.336,1.053,0.117
730,2.146,0.326,0.888,0.137
733,2.071,0.337,0.929,0.131
734,5.8,0.265,1.034,0.119
737,4.077,0.159,0.62,0.187
742,2.071,0.447,1.649,0.077
749,7.623,0.135,0.382,0.28
755,11.646,1.166,1.879,0.068
756,4.293,0.139,0.401,0.269
760,18.087,0.05,0.14,0.563
762,11.646,0.054,0.18,0.483
763,10.964,0.253,0.895,0.136
770,15.873,0.335,1.283,0.098
777,21.063,0.091,0.254,0.381
780,15.888,0.336,1.288,0.097
783,21.063,0.093,0.26,0.375
786,17.182,0.279,0.985,0.124
787,11.696,1.042,2.422,0.054
789,11.696,0.282,1.011,0.122
790,14.379,0.27,0.933,0.131
797,10.885,0.288,1.097,0.113
801,17.686,0.262,0.936,0.13
802,15.816,0.558,1.262,0.099
803,11.293,0.284,1.06,0.116
804,21.816,0.077,0.22,0.422
805,15.816,0.087,0.243,0.394
806,10.964,0.284,1.023,0.12
807,22.079,0.074,0.214,0.43
808,10.73,0.345,1.269,0.099
809,3.74,6.083,9.9,0.014
810,18.81,0.077,0.205,0.443
811,3.861,0.16,0.582,0.198
813,3.925,0.154,0.454,0.244
814,10.73,0.285,1.032,0.119
815,3.74,0.162,0.483,0.231
816,3.74,0.271,1.047,0.118
823,11.939,0.22,0.796,0.151
826,14.958,0.077,0.178,0.486
829,2.162,11.587,18.646,0.007
831,10.859,0.289,1.096,0.113
832,11.195,0.285,1.069,0.116
834,10.924,0.284,1.03,0.119
835,10.73,0.286,1.038,0.119
836,10.73,0.336,1.25,0.1
837,2.262,11.035,17.748,0.008
848,4.047,5.815,9.433,0.014
850,15.644,0.069,0.162,0.514
854,15.597,0.074,0.171,0.498
859,16.337,0.073,0.198,0.454
862,2.162,0.334,1.085,0.114
863,4.221,5.535,8.969,0.015
865,15.184,0.134,0.484,0.231
866,15.644,0.073,0.169,0.501
867,15.184,0.074,0.173,0.495
871,2.262,0.309,0.823,0.146
882,2.071,11.926,19.213,0.007
883,2.098,0.337,1.032,0.119
884,2.125,0.329,0.896,0.136
887,2.071,0.338,0.927,0.132
890,2.071,0.417,1.552,0.082
895,4.047,0.158,0.603,0.192
905,4.221,0.142,0.408,0.266
917,17.197,0.28,0.993,0.124
919,11.709,1.042,2.427,0.053
920,14.393,0.27,0.939,0.13
922,11.709,0.283,1.016,0.121
923,10.924,0.253,0.899,0.135
924,17.716,0.262,0.942,0.13
935,21.816,0.079,0.227,0.413
936,18.81,0.079,0.211,0.434
937,15.816,0.089,0.249,0.387
938,22.094,0.075,0.22,0.422
939,3.778,6.081,9.885,0.014
940,3.867,0.159,0.562,0.204
941,15.816,0.559,1.271,0.098
942,3.778,0.239,0.959,0.127
943,3.778,0.16,0.477,0.234
945,3.913,0.154,0.455,0.243
947,15.511,0.076,0.175,0.49
948,11.911,0.22,0.798,0.15
951,16.116,0.075,0.202,0.447
954,15.55,0.074,0.174,0.493
956,15.17,0.126,0.466,0.239
959,14.848,0.079,0.183,0.478
960,2.141,11.719,18.853,0.007
961,2.215,11.293,18.161,0.007
968,15.55,0.07,0.167,0.506
970,15.17,0.075,0.176,0.488
971,4.146,5.658,9.167,0.015
972,4.016,5.875,9.524,0.014
985,2.141,0.335,1.063,0.116
989,2.215,0.316,0.843,0.143
1003,4.016,0.157,0.585,0.197
1005,4.146,0.145,0.417,0.261
1014,2.681,0.476,1.083,0.114
1015,1.808,0.877,3.061,0.043
1016,3.457,0.311,0.746,0.159
1018,8.006,0.427,1.577,0.081
1019,21.063,0.039,0.12,0.614
1022,13.668,0.425,1.531,0.083
1025,19.512,0.104,0.276,0.359
1028,16.216,0.296,1.129,0.11
1034,20.895,0.076,0.224,0.417
1041,13.41,0.09,0.194,0.458
1049,10.225,0.251,0.858,0.141
1059,1.691,14.398,23.004,0.006
1062,1.808,0.182,0.555,0.206
1066,1.691,0.357,1.267,0.099
1067,1.691,0.191,0.493,0.227
1069,1.851,0.172,0.442,0.249
1070,1.983,12.491,19.909,0.007
1071,14.18,0.067,0.157,0.525
1072,2.104,11.713,18.664,0.007
1078,1.983,0.17,0.541,0.211
1088,17.153,0.268,0.911,0.134
1089,17.167,0.268,0.909,0.134
1092,21.816,0.071,0.204,0.444
1093,21.816,0.07,0.203,0.446
1094,2.071,11.61,18.87,0.007
1095,2.104,0.147,0.375,0.284
1096,16.909,0.268,0.959,0.127
1097,2.118,0.157,0.477,0.234
