efm,R54ra,R54rb,R13r,R26r,R15r,R96,R94,R95,R93,R90,R91,R8r,R10a,R10b,R10c,R28r,R3,R70,R6r,R97r,R2r,R55a,R55b,R4,R12r,R1,R27,R27b,R23r,R9,R14r,RR9,R53r,R80,R82,R29r,R7ra,R7rb,R7rc,R41,R40,R11r,R42,R5r,R25,R24,R22,R21,R20,R60,R61r
125,0.0,0.0,0.408,0.0,1.755,0.0,0.0,18.435,1.548,0.0,21.041,50.831,51.306,62.135,0.0,20.871,0.0,0.385,0.214,0.0,0.0,60.98,71.096,0.997,0.284,35.697,90.64,125.872,1.694,0.0,0.481,301.376,0.0,0.0,0.0,8.869,347.434,161.778,95.021,0.0,49.483,0.509,0.0,0.464,0.0,3.16,2.403,87.749,0.0,39.934,947.051
126,13076.485,268.411,0.0,0.0,3.011,0.0,0.0,0.789,1.548,0.0,0.0,80.145,118.494,138.774,0.138,0.682,0.0,0.364,0.159,0.0,0.0,0.0,0.0,0.606,0.257,52.156,0.0,0.473,0.763,0.0,0.0,56.906,0.0,0.0,0.0,0.129,1633.33,816.159,135.885,0.0,3.061,0.266,0.0,0.334,0.0,1.214,0.576,619.183,0.0,82.624,4439.985
128,0.0,0.0,0.518,0.0,2.236,0.0,0.0,14.816,1.548,0.0,10.685,23.455,14.383,15.71,0.0,13.877,0.0,0.319,0.251,0.0,0.0,24.775,36.331,1.133,0.334,13.256,0.0,17.944,0.772,0.0,0.564,104.858,0.0,1.098,0.0,8.117,125.542,37.462,45.905,0.0,17.072,0.568,0.0,0.551,0.0,0.516,0.459,44.472,0.0,11.501,309.559
129,0.0,0.0,0.0,14.412,4.076,0.0,0.0,0.0,1.548,0.0,0.0,2.683,8.3,10.18,0.08,8.477,0.0,0.399,0.206,0.0,0.0,0.0,0.0,0.758,0.266,6.909,60.772,37.435,17.811,0.0,0.0,54.167,0.0,0.0,0.0,9.705,71.035,18.753,6.072,0.0,2.414,0.306,0.0,0.438,3.223,29.454,18.956,12.509,0.0,6.21,179.182
136,13026.813,267.199,1.102,0.0,4.78,0.0,0.0,0.608,1.548,0.0,0.0,78.985,117.591,137.734,0.0,0.526,0.0,0.545,0.429,0.0,0.0,0.0,0.0,1.848,0.571,51.685,0.0,0.365,0.752,0.0,0.986,55.261,0.0,0.0,0.0,0.091,1621.473,810.578,134.039,0.0,2.623,0.846,0.0,0.964,0.0,1.179,0.553,616.497,0.0,82.132,4421.086
137,164.401,10.491,0.303,0.0,1.294,0.0,38.281,0.697,1.548,0.0,0.0,40.902,34.987,40.068,0.0,0.617,0.0,0.256,0.176,0.0,0.0,0.0,0.0,0.864,0.233,30.157,0.0,0.489,0.649,0.0,0.398,30.666,31.975,0.0,0.0,0.255,190.828,80.832,82.699,0.0,1.988,0.447,0.0,0.376,0.0,0.588,0.332,37.845,0.0,27.77,492.865
140,0.0,0.0,0.219,0.0,0.927,0.0,45.631,0.982,1.548,0.0,0.0,28.643,22.601,22.508,0.0,0.953,0.0,0.271,0.143,0.0,0.0,0.0,0.0,0.753,0.19,25.028,0.0,1.805,0.946,0.0,0.33,32.936,69.415,0.0,0.0,0.637,100.943,34.385,65.663,0.0,1.935,0.392,0.0,0.297,0.0,0.541,0.664,7.57,0.0,17.93,230.255
148,0.0,0.0,0.21,0.0,0.887,0.0,41.188,0.331,1.548,0.0,0.0,27.694,24.322,25.338,0.0,0.489,0.0,0.278,0.138,0.0,0.0,0.0,0.0,0.736,0.186,26.071,2.571,8.619,1.045,0.0,0.324,37.517,49.242,0.0,0.0,0.28,98.226,35.919,63.369,0.0,1.706,0.388,0.0,0.286,0.0,0.752,0.831,7.724,0.0,19.349,230.318
149,0.0,0.0,0.221,0.0,0.936,0.0,44.017,0.604,1.548,0.0,0.0,27.035,21.586,21.47,0.0,0.587,0.0,0.272,0.144,0.0,0.0,0.0,0.0,0.756,0.19,23.938,0.0,1.143,0.935,0.0,0.331,28.967,67.954,0.025,0.0,0.395,96.611,32.269,62.299,0.0,1.513,0.393,0.0,0.3,0.0,0.529,0.648,7.542,0.0,17.124,219.217
150,0.0,0.0,0.0,6.227,2.688,0.0,0.0,0.0,1.548,0.0,0.0,1.218,2.74,3.113,0.075,3.783,0.0,0.656,0.148,0.0,0.0,0.0,0.0,0.579,0.203,2.797,5.61,0.0,8.214,0.0,0.0,15.549,0.0,1.273,0.0,6.677,23.26,1.303,3.462,0.0,1.111,0.258,0.0,0.311,1.329,4.701,5.009,8.325,0.0,2.145,52.506
