,efm,reaction,dq/dKeq,dlnq/dlnKeq,dmu/dKeq,dlnmu/dlnKeq
126,113,R20,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
127,113,R22,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
128,113,R23r,-4.01e-02,-6.42e-04,2.43e-04,6.28e-04
129,113,R24,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
130,113,R25,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
131,113,R26r,-2.09e-04,-2.37e-05,1.27e-06,2.32e-05
132,113,R4,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
133,113,R40,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
134,113,R54ra,-1.68e+01,-8.23e-03,1.02e-01,8.05e-03
135,113,R54rb,-1.48e-07,-8.84e-05,8.94e-10,8.65e-05
136,113,R55a,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
137,113,R55b,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
138,113,R5r,9.11e-02,5.87e-06,-5.52e-04,-5.75e-06
139,113,R60,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
140,113,R61r,-3.00e-01,-6.22e-04,1.82e-03,6.09e-04
141,113,R6r,-5.37e-07,-1.31e-06,3.26e-09,1.28e-06
142,113,R7ra,-9.56e-01,-1.83e-02,5.79e-03,1.79e-02
143,113,R7rb,-3.35e-05,-5.27e-03,2.03e-07,5.16e-03
144,113,R7rc,-2.05e-01,-7.14e-03,1.24e-03,6.99e-03
145,113,R8r,-6.04e-03,-4.58e-03,3.66e-05,4.48e-03
146,113,R91,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
147,113,R93,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
148,113,R95,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
149,113,R96,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
150,113,RR9,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
151,114,R1,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
152,114,R10a,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
153,114,R10b,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
154,114,R10c,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
155,114,R11r,2.51e-05,6.26e-05,-3.18e-06,-5.65e-05
156,114,R12r,-1.22e-05,-3.04e-05,1.54e-06,2.74e-05
157,114,R15r,7.49e-06,3.01e-04,-9.49e-07,-2.72e-04
158,114,R20,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
159,114,R22,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
160,114,R23r,-1.26e-02,-9.95e-04,1.59e-03,8.99e-04
161,114,R24,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
162,114,R25,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
163,114,R26r,-1.41e-04,-7.91e-05,1.79e-05,7.14e-05
164,114,R4,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
165,114,R40,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
166,114,R53r,-2.50e-09,-5.53e-05,3.17e-10,4.99e-05
167,114,R54ra,-4.57e+00,-1.11e-02,5.78e-01,9.99e-03
168,114,R54rb,-5.22e-07,-1.55e-03,6.61e-08,1.40e-03
169,114,R5r,1.12e-01,3.56e-05,-1.41e-02,-3.21e-05
170,114,R60,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
171,114,R61r,-4.79e-02,-4.92e-04,6.07e-03,4.44e-04
172,114,R6r,-7.68e-07,-9.26e-06,9.72e-08,8.36e-06
173,114,R7ra,-5.02e-01,-4.77e-02,6.36e-02,4.30e-02
174,114,R7rb,-1.73e-05,-1.35e-02,2.19e-06,1.22e-02
175,114,R7rc,-1.80e-01,-3.10e-02,2.27e-02,2.80e-02
176,114,R8r,-4.83e-03,-1.81e-02,6.11e-04,1.64e-02
177,114,R93,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
178,114,R94,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
179,114,R95,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
180,114,R96,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
181,114,RR9,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
182,126,R1,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
183,126,R10a,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
184,126,R10b,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
185,126,R10c,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
186,126,R11r,8.61e-05,8.80e-06,-2.23e-08,-8.76e-06
187,126,R12r,-4.73e-05,-4.83e-06,1.22e-08,4.81e-06
188,126,R15r,8.04e-05,1.33e-04,-2.08e-08,-1.32e-04
189,126,R21,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
190,126,R22,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
191,126,R23r,-7.36e-03,-2.39e-05,1.90e-06,2.38e-05
192,126,R24,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
193,126,R27b,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
194,126,R28r,1.27e-04,2.65e-05,-3.29e-08,-2.64e-05
195,126,R29r,1.05e+00,2.82e-06,-2.71e-04,-2.80e-06
196,126,R4,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
197,126,R40,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
198,126,R54ra,-1.54e+02,-1.53e-02,3.97e-02,1.52e-02
199,126,R54rb,-7.26e-06,-8.83e-04,1.88e-09,8.79e-04
200,126,R5r,8.28e-01,1.08e-05,-2.14e-04,-1.08e-05
201,126,R60,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
202,126,R61r,-9.07e+00,-3.82e-03,2.34e-03,3.80e-03
203,126,R6r,-1.36e-05,-6.71e-06,3.51e-09,6.68e-06
204,126,R7ra,-5.99e+00,-2.33e-02,1.55e-03,2.32e-02
205,126,R7rb,-1.17e-04,-3.74e-03,3.02e-08,3.72e-03
206,126,R7rc,-5.75e-01,-4.07e-03,1.49e-04,4.05e-03
207,126,R8r,-1.82e-02,-2.80e-03,4.70e-06,2.79e-03
208,126,R93,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
209,126,R95,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
210,126,RR9,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
211,136,R1,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
212,136,R10a,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
213,136,R10b,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
214,136,R11r,2.83e-04,2.91e-05,-7.39e-08,-2.90e-05
215,136,R12r,-1.17e-04,-1.20e-05,3.04e-08,1.19e-05
216,136,R13r,3.07e-04,4.95e-05,-8.00e-08,-4.93e-05
217,136,R14r,5.54e-04,2.20e-05,-1.45e-07,-2.19e-05
218,136,R15r,1.36e-04,2.26e-04,-3.55e-08,-2.25e-04
219,136,R21,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
220,136,R22,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
221,136,R23r,-7.08e-03,-2.31e-05,1.85e-06,2.30e-05
222,136,R24,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
223,136,R27b,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
224,136,R28r,9.83e-05,2.05e-05,-2.56e-08,-2.04e-05
225,136,R29r,7.30e-01,1.97e-06,-1.90e-04,-1.96e-06
226,136,R4,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
227,136,R40,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
228,136,R54ra,-1.53e+02,-1.52e-02,3.99e-02,1.52e-02
229,136,R54rb,-7.20e-06,-8.79e-04,1.88e-09,8.75e-04
230,136,R5r,2.73e+00,3.58e-05,-7.11e-04,-3.57e-05
231,136,R60,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
232,136,R61r,-9.03e+00,-3.81e-03,2.35e-03,3.80e-03
